,County,Total Cases,Total Cases per 100k,Total Deaths,Total Deaths per 100k,Fully Vaccinated,Daily Case Avg,Daily Case 14-Day change %,Hospitalized Daily Avg,Hosp. Daily per 100k,Hosp. Daily change %,Deaths Daily Avg.,Deaths Daily per 100k
2524,Decatur ›,"1,592","13,650",39,334,23%,9,9,11,–15%,0,—,25%
883,Decatur ›,608,"7,726",9,114,28%,0,—,13,+99%,0,—,32%
964,Decatur ›,267,"9,445",12,424,28%,0,—,—,—,0,—,24%
731,Decatur ›,"2,910","10,957",96,361,31%,3,10,—,–100%,0,—,20%
1608,Deer Lodge ›,"1,115","12,199",15,164,41%,1,22,8,+19%,0,—,33%
2043,Defiance ›,"4,236","11,122",97,255,33%,9,14,6,+33%,0,—,35%
231,Del Norte ›,"1,395","5,016",8,29,23%,3,5,—,–100%,0,—,31%
2179,Delaware ›,"4,631","10,768",91,212,20%,<1,1,—,–100%,0.1,1.42,22%
2090,Delaware ›,"18,572","8,879",133,64,48%,14,6,16,+5%,0.4,0.18,41%
818,Delaware ›,"2,095","12,316",41,241,37%,2,11,4,–5%,0.1,0.84,37%
1879,Delaware ›,"2,311","5,236",37,84,36%,5,5,16,–18%,0.1,0.14,53%
2274,Delaware ›,"51,491","9,085","1,420",251,39%,15,16,87,–10%,0.1,0.16,34%
770,Delaware ›,"10,735","9,406",193,169,30%,1,7,10,+18%,0,—,31%
2837,Delta ›,320,"6,003",12,225,20%,0,—,2,–35%,0,—,21%
1240,Delta ›,"3,968","11,089",91,254,42%,14,35,35,+45%,0,—,29%
271,Delta ›,"2,722","8,735",61,196,—,2,52,—,–100%,0,—,—
82,Denali Borough ›,105,"5,007",0,—,36%,<1,7,3,–41%,0,—,55%
2781,Denton ›,"75,307","8,488",755,85,35%,<1,4,—,–100%,0,—,27%
1596,Dent ›,968,"6,216",17,109,17%,0,—,—,—,0,—,28%
257,Denver ›,"72,024","9,904",816,112,—,3,17,19,–8%,0.1,0.78,—
830,Des Moines ›,"4,558","11,697",66,169,33%,2,8,—,–100%,0,—,28%
2219,Deschutes ›,"8,962","4,533",74,37,40%,71,12,7,–33%,0.3,0.05,37%
132,Desha ›,"1,363","11,997",24,211,32%,3,7,15,–6%,0,—,21%
1739,Deuel ›,103,"5,741",2,111,19%,0,—,6,–28%,0,—,17%
2477,Deuel ›,527,"12,112",9,207,26%,1,4,—,–100%,0,—,27%
2435,Dewey ›,"1,474","25,017",28,475,41%,4,11,13,–32%,0.1,0.37,39%
2169,Dewey ›,552,"11,286",14,286,18%,<1,2,9,–10%,0,—,23%
2997,Dickenson ›,938,"6,551",15,105,—,<1,4,4,–61%,0.1,0.96,—
2779,Dickens ›,188,"8,503",10,452,22%,<1,4,8,+142%,0,—,28%
1992,Dickey ›,794,"16,297",33,677,38%,15,8,17,–26%,0,—,41%
797,Dickinson ›,"2,483","14,388",43,249,43%,9,9,12,+86%,0,—,39%
1246,Dickinson ›,"2,706","10,722",74,293,43%,362,29,25,–42%,8.4,0.67,42%
961,Dickinson ›,"1,768","9,574",45,244,34%,0,—,—,–100%,0,—,35%
2547,Dickson ›,"6,850","12,697",113,209,24%,2,10,13,–6%,0,—,19%
84,Dillingham Census Area ›,228,"4,638",2,41,34%,<1,6,—,—,0,—,43%
2390,Dillon ›,"4,372","14,344",84,276,25%,15,19,9,+113%,0,—,29%
2596,Dimmit ›,"2,203","21,760",35,346,33%,14,85,—,–100%,0,—,27%
2969,Dinwiddie ›,"2,118","7,420",43,151,—,2,8,5,–24%,0.3,1.36,—
2035,Divide ›,181,"7,995",2,88,30%,0,—,5,–6%,0,—,26%
353,Dixie ›,"1,615","9,598",24,143,19%,29,11,11,–18%,0.6,0.22,43%
1686,Dixon ›,611,"10,841",9,160,30%,2,9,7,–21%,0,—,33%
3111,Doddridge ›,599,"7,090",6,71,—,1,15,14,+48%,0,—,—
453,Dodge ›,"2,139","10,381",102,495,—,2,13,9,+10%,0,—,—
1656,Dodge ›,"4,953","13,546",62,170,33%,8,13,15,+156%,0.1,0.23,28%
3121,Dodge ›,"12,798","14,570",185,211,32%,13,29,4,–55%,0.9,1.96,33%
1387,Dodge ›,"1,845","8,813",3,14,37%,2,8,—,–100%,0,—,38%
300,Dolores ›,93,"4,526",0,—,—,<1,6,4,–51%,0,—,—
911,Doniphan ›,970,"12,763",23,303,27%,2,6,5,–46%,0,—,29%
2643,Donley ›,420,"12,813",15,458,20%,6,8,6,–6%,0,—,20%
520,Dooly ›,"1,079","8,058",46,344,—,<1,4,3,–73%,0,—,—
3175,Door ›,"2,830","10,228",29,105,57%,2,7,4,–7%,0.1,0.41,22%
2308,Dorado,"2,617","7,314",—,—,27%,8,17,—,—,0,—,23%
1195,Dorchester ›,"2,770","8,675",51,160,36%,4,11,13,–32%,0,—,35%
2414,Dorchester ›,"17,856","10,967",219,135,26%,16,7,5,–48%,0.3,0.13,22%
512,Dougherty ›,"7,615","8,658",304,346,—,<1,4,4,+85%,0,—,—
2232,Douglas ›,"3,272","2,948",71,64,31%,2,8,—,—,0,—,49%
1661,Douglas ›,"71,463","12,508",708,124,40%,2,34,—,–100%,0,—,18%
449,Douglas ›,"15,299","10,454",224,153,—,2,13,11,–5%,0,—,—
985,Douglas ›,"9,264","7,577",87,71,39%,0,—,—,–100%,0,—,28%
1758,Douglas ›,"2,861","5,850",35,72,35%,1,3,11,–9%,0,—,28%
602,Douglas ›,"2,588","13,296",41,211,25%,4,23,—,–100%,0,—,32%
2447,Douglas ›,455,"15,577",9,308,27%,<1,11,—,–100%,0,—,34%
1591,Douglas ›,924,"7,008",28,212,13%,0,—,3,–50%,0,—,28%
3154,Douglas ›,"4,856","11,254",57,132,26%,6,7,12,–12%,0.4,0.48,47%
275,Douglas ›,"29,411","8,376",255,73,—,1,21,10,+68%,0,—,—
3032,Douglas ›,"3,659","8,425",22,51,36%,18,22,—,–100%,0.3,0.35,26%
1329,Douglas ›,"4,663","12,226",75,197,39%,88,20,13,–9%,1.3,0.30,39%
1802,Doña Ana ›,"24,986","11,451",455,209,32%,7,10,8,–3%,0.1,0.19,27%
139,Drew ›,"2,007","11,016",44,242,27%,<1,5,6,–12%,0,—,23%
674,DuPage ›,"90,503","9,806","1,364",148,40%,<1,6,10,–1%,0,—,29%
695,Dubois ›,"6,163","14,421",118,276,34%,6,31,14,–3%,0,—,25%
804,Dubuque ›,"13,367","13,736",209,215,46%,3,27,—,–100%,0,—,40%
2876,Duchesne ›,"1,267","6,355",9,45,22%,0,—,—,–100%,0,—,30%
1223,Dukes ›,"1,319","7,610",0,—,3%,5,7,—,–100%,0,—,40%
1684,Dundy ›,184,"10,868",4,236,25%,<1,9,—,—,0,—,33%
1538,Dunklin ›,"2,835","9,732",22,76,15%,2,6,16,–24%,0,—,28%
3156,Dunn ›,"5,066","11,166",32,71,32%,12,6,4,–38%,0.1,0.08,38%
2033,Dunn ›,382,"8,635",7,158,15%,0,—,—,–100%,0.1,7.72,24%
1913,Duplin ›,"6,282","10,694",133,226,22%,30,14,15,–11%,0.7,0.33,28%
1967,Durham ›,"25,445","7,915",226,70,42%,1,9,5,–12%,0,—,29%
1835,Dutchess ›,"29,107","9,893",443,151,42%,14,19,4,–78%,0.3,0.38,33%
2687,Duval ›,"1,256","11,258",41,367,33%,1,39,6,–19%,0,—,30%
345,Duval ›,"98,995","10,336","1,432",150,32%,122,13,12,–18%,5.2,0.54,32%
2509,Dyer ›,"5,440","14,640",106,285,20%,4,13,—,–100%,0.1,0.43,20%
251,Eagle ›,"6,282","11,396",22,40,—,82,25,6,–39%,0,—,—
426,Early ›,"1,179","11,570",48,471,—,7,8,10,+43%,0.1,0.17,—
1165,East Baton Rouge ›,"39,761","9,035",806,183,32%,2,9,—,—,0,—,21%
1111,East Carroll ›,"1,130","16,470",26,379,26%,5,29,8,–3%,0,—,49%
1110,East Feliciana ›,"3,164","16,535",112,585,23%,7,43,4,+40%,0,—,21%
2807,Eastland ›,"1,353","7,369",49,267,22%,<1,2,25,—,0,—,34%
1271,Eaton ›,"9,926","9,002",198,180,35%,6,22,15,–54%,0.1,0.49,40%
3151,Eau Claire ›,"11,887","11,359",119,114,42%,3,8,3,–66%,0,—,32%
418,Echols ›,477,"11,907",9,225,—,11,9,10,–6%,0,—,—
2717,Ector ›,"17,306","10,411",371,223,23%,2,9,8,–17%,0,—,26%
1801,Eddy ›,"6,844","11,707",129,221,19%,7,10,—,—,0,—,27%
1985,Eddy ›,469,"20,507",6,262,39%,4,26,—,–100%,0.1,0.95,12%
672,Edgar ›,"1,702","9,918",59,344,26%,<1,7,15,–6%,0,—,22%
1910,Edgecombe ›,"5,576","10,833",111,216,25%,10,14,—,–100%,0.6,0.85,23%
2403,Edgefield ›,"3,136","11,504",43,158,33%,6,10,5,–15%,0.4,0.63,23%
1102,Edmonson ›,913,"7,514",23,189,24%,<1,3,19,+3%,0,—,35%
2467,Edmunds ›,513,"13,398",14,366,24%,<1,5,12,–32%,0,—,37%
687,Edwards ›,569,"8,898",13,203,25%,<1,3,7,+604%,0,—,24%
2638,Edwards ›,250,"12,940",6,311,25%,15,9,—,–100%,0.3,0.16,24%
962,Edwards ›,266,"9,507",12,429,32%,0,—,—,—,0,—,22%
597,Effingham ›,"4,729","13,906",83,244,26%,69,24,19,–18%,0.6,0.20,32%
532,Effingham ›,"4,638","7,214",68,106,—,<1,1,—,–100%,0,—,—
228,El Dorado ›,"10,154","5,265",113,59,35%,2,8,2,–42%,0,—,28%
264,El Paso ›,"67,155","9,322",814,113,—,4,9,4,–56%,0,—,—
2604,El Paso ›,"135,229","16,113","2,680",319,38%,20,22,6,–74%,0.3,0.31,27%
417,Elbert ›,"2,298","11,972",73,380,—,14,9,17,+28%,0.1,0.10,—
292,Elbert ›,"1,742","6,517",13,49,—,<1,10,—,–100%,0,—,—
696,Elkhart ›,"28,795","13,955",457,221,23%,9,27,10,–9%,0,—,33%
1750,Elko ›,"4,871","9,229",56,106,22%,4,7,8,+13%,0,—,22%
2266,Elk ›,"2,836","9,482",39,130,40%,83,19,14,–24%,1.3,0.29,33%
988,Elk ›,179,"7,075",5,198,22%,0,—,—,–100%,0,—,36%
996,Elliott ›,961,"12,784",2,27,21%,4,31,6,–39%,0,—,26%
907,Ellis ›,"3,745","13,116",71,249,33%,<1,7,—,—,0,—,30%
2651,Ellis ›,"22,814","12,344",311,168,27%,9,8,6,–19%,0.4,0.37,22%
2198,Ellis ›,357,"9,251",5,130,23%,0,—,—,—,0,—,26%
886,Ellsworth ›,"1,221","20,010",25,410,36%,16,10,22,+46%,0.1,0.09,28%
583,Elmore ›,"2,018","7,335",15,55,23%,<1,2,—,—,0,—,17%
11,Elmore ›,"10,060","12,388",205,252,22%,6,8,11,–6%,0,—,22%
433,Emanuel ›,"2,559","11,300",81,358,—,4,7,6,–25%,0,—,—
2870,Emery ›,928,"9,269",9,90,24%,1,6,—,—,0,—,25%
1280,Emmet ›,"2,782","8,326",41,123,52%,29,19,29,–21%,0.7,0.47,34%
793,Emmet ›,"1,342","14,574",40,434,36%,5,11,13,+7%,0.1,0.31,34%
2014,Emmons ›,425,"13,113",13,401,24%,1,10,—,–100%,0,—,40%
2901,Emporia ›,669,"12,514",42,786,—,13,16,13,+19%,0.6,0.70,—
2737,Erath ›,"4,196","9,827",69,162,21%,<1,7,6,–19%,0,—,25%
2294,Erie ›,"20,601","7,638",407,151,37%,30,12,10,–20%,0.6,0.23,35%
1838,Erie ›,"88,115","9,591","1,775",193,42%,8,17,5,–69%,0,—,27%
2045,Erie ›,"7,930","10,678",154,207,38%,32,14,15,+92%,0.3,0.12,36%
334,Escambia ›,"36,282","11,398",692,217,29%,6,15,16,Flat,0,—,22%
36,Escambia ›,"3,939","10,753",77,210,18%,3,9,—,–100%,0.1,0.48,20%
1760,Esmeralda ›,38,"4,353",0,—,27%,0,—,8,+18%,0,—,23%
2986,Essex ›,761,"6,948",9,82,—,2,6,7,–24%,0,—,—
1779,Essex ›,"93,525","11,706","2,944",368,35%,68,10,12,–19%,1.6,0.23,38%
1883,Essex ›,"1,581","4,286",26,70,50%,2,5,3,—,0,—,42%
2880,Essex ›,282,"4,576",2,32,—,5,16,—,–100%,0,—,—
1215,Essex ›,"96,706","12,256","2,365",300,43%,81,14,14,–18%,1.1,0.20,35%
1096,Estill ›,"1,108","7,855",11,78,29%,2,5,—,—,0,—,28%
4,Etowah ›,"13,861","13,554",353,345,21%,6,14,11,+4%,0.1,0.32,15%
1762,Eureka ›,54,"2,661",0,—,18%,0,—,8,+18%,0,—,25%
1134,Evangeline ›,"3,612","10,816",93,278,19%,50,11,8,–3%,0.4,0.10,32%
500,Evans ›,965,"9,058",29,272,—,<1,5,—,–100%,0,—,—
78,Fairbanks North Star Borough ›,"7,835","8,090",41,42,31%,1,10,1,–77%,0,—,49%
3025,Fairfax City ›,558,"2,323",19,79,—,0,—,7,–48%,0,—,—
2995,Fairfax ›,"76,560","6,672","1,077",94,—,2,5,2,–30%,0,—,—
307,Fairfield ›,"99,436","10,541","2,176",231,45%,93,11,12,–33%,1.6,0.18,45%
2050,Fairfield ›,"16,264","10,321",200,127,35%,5,13,—,–100%,0,—,31%
2418,Fairfield ›,"2,396","10,722",81,362,30%,2,18,—,—,0.2,1.92,26%
2327,Fajardo,"1,642","5,529",—,—,28%,12,10,—,—,0,—,30%
2497,Fall River ›,596,"8,878",16,238,34%,0,—,—,–100%,0,—,23%
1624,Fallon ›,286,"10,049",2,70,21%,1,6,—,—,0,—,34%
3024,Falls Church ›,430,"2,942",9,62,—,0,—,6,–25%,0,—,—
2658,Falls ›,"2,091","12,089",32,185,20%,69,7,2,–78%,0.6,0.06,39%
2738,Fannin ›,"3,478","9,793",108,304,22%,<1,7,3,–75%,0,—,25%
498,Fannin ›,"2,397","9,153",72,275,—,2,5,8,–3%,0.3,0.64,—
1351,Faribault ›,"1,521","11,140",19,139,37%,5,14,—,–100%,0.1,0.42,37%
153,Faulkner ›,"12,650","10,039",161,128,28%,<1,4,11,–18%,0,—,21%
2445,Faulk ›,371,"16,137",13,565,36%,1,14,9,+37%,0,—,20%
2998,Fauquier ›,"4,663","6,547",68,95,—,<1,4,13,–12%,0,—,—
2258,Fayette ›,"12,820","9,917",311,241,38%,8,20,20,–5%,0.1,0.35,28%
596,Fayette ›,"3,174","14,876",58,272,19%,3,25,13,+4%,0,—,31%
2703,Fayette ›,"2,721","10,735",63,249,29%,<1,13,—,–100%,0,—,22%
704,Fayette ›,"2,949","12,765",64,277,25%,56,20,21,–7%,0.3,0.11,36%
2554,Fayette ›,"5,116","12,438",77,187,29%,3,9,15,–16%,0,—,26%
3095,Fayette ›,"3,448","8,131",76,179,—,8,15,15,+1%,0.3,0.50,—
2057,Fayette ›,"2,826","9,907",50,175,27%,3,12,4,–66%,0,—,20%
524,Fayette ›,"9,005","7,870",169,148,—,1,3,10,–31%,0.1,0.48,—
1013,Fayette ›,"35,779","11,072",309,96,45%,4,16,—,–100%,0.1,0.54,28%
869,Fayette ›,"1,850","9,415",41,209,39%,<1,3,14,+99%,0,—,37%
7,Fayette ›,"2,125","13,035",62,380,20%,8,10,5,–54%,0.1,0.17,22%
2541,Fentress ›,"2,426","13,097",47,254,19%,3,18,10,–16%,0,—,16%
1623,Fergus ›,"1,117","10,109",31,281,28%,<1,6,4,+9%,0,—,29%
3048,Ferry ›,357,"4,681",5,66,29%,12,12,—,—,0.1,0.15,23%
1705,Fillmore ›,505,"9,246",8,146,32%,<1,6,—,—,0,—,28%
1395,Fillmore ›,"1,559","7,400",10,47,45%,<1,4,9,–48%,0,—,46%
891,Finney ›,"6,062","16,623",71,195,21%,5,7,—,—,0,—,26%
2796,Fisher ›,300,"7,833",14,366,23%,1,3,5,+7%,0,—,21%
383,Flagler ›,"7,371","6,405",110,96,39%,<1,2,9,+5%,0,—,18%
1614,Flathead ›,"11,960","11,521",93,90,24%,<1,13,—,—,0,—,53%
1086,Fleming ›,"1,197","8,209",23,158,29%,3,7,7,+4%,0.6,1.61,32%
2397,Florence ›,"17,742","12,829",415,300,31%,8,13,12,–42%,0.3,0.43,28%
3146,Florence ›,501,"11,665",12,279,35%,16,9,3,–25%,0.1,0.08,37%
2307,Florida,829,"7,318",—,—,33%,6,17,—,—,0,—,23%
3015,Floyd ›,856,"5,435",22,140,—,<1,2,2,–52%,0,—,—
859,Floyd ›,"1,605","10,261",42,269,36%,<1,5,14,–37%,0,—,29%
2613,Floyd ›,853,"14,933",30,525,28%,7,17,3,–61%,0,—,25%
410,Floyd ›,"12,029","12,212",229,232,—,20,10,11,–22%,0.6,0.28,—
1054,Floyd ›,"3,419","9,607",69,194,32%,2,12,7,–35%,0,—,28%
759,Floyd ›,"7,682","9,783",183,233,38%,2,9,13,+27%,0,—,20%
2984,Fluvanna ›,"1,914","7,019",18,66,—,<1,6,—,–100%,0,—,—
2711,Foard ›,122,"10,563",10,866,28%,2,10,12,–3%,0,—,20%
3125,Fond du Lac ›,"13,666","13,216",121,117,34%,19,21,3,–61%,0.1,0.16,28%
598,Ford ›,"1,782","13,749",54,417,32%,3,24,5,–41%,0.1,1.15,22%
890,Ford ›,"5,758","17,127",75,223,24%,4,7,—,–100%,0.3,0.53,29%
3148,Forest ›,"1,039","11,539",26,289,41%,9,9,4,–8%,0,—,34%
2239,Forest ›,"1,423","19,636",21,290,53%,19,31,14,–20%,0.1,0.24,26%
1452,Forrest ›,"7,683","10,258",152,203,20%,3,4,6,+29%,0,—,30%
1937,Forsyth ›,"35,824","9,371",378,99,35%,10,11,20,+30%,0,—,26%
488,Forsyth ›,"22,932","9,389",195,80,—,1,6,—,–100%,0,—,—
2786,Fort Bend ›,"67,933","8,369",669,82,39%,<1,4,—,—,0,—,23%
1986,Foster ›,598,"18,629",19,592,39%,7,21,15,–2%,0,—,22%
702,Fountain ›,"2,132","13,043",47,288,30%,46,22,26,+7%,0.4,0.21,23%
2896,Franklin City ›,"1,130","14,184",32,402,—,8,20,15,–23%,0.1,0.36,—
1519,Franklin ›,"10,647","10,241",183,176,31%,2,10,—,–100%,0,—,31%
1880,Franklin ›,"2,516","5,030",12,24,42%,<1,10,3,–62%,0,—,65%
164,Franklin ›,"1,692","9,551",39,220,27%,<1,3,—,—,0,—,32%
1115,Franklin ›,"2,493","12,456",106,530,21%,14,20,11,–1%,0,—,23%
3026,Franklin ›,"12,372","12,993",111,117,23%,3,45,—,–100%,0.1,1.87,29%
952,Franklin ›,"2,556","10,006",43,168,30%,0,—,—,–100%,0,—,37%
339,Franklin ›,"1,333","10,994",18,148,28%,6,14,6,–24%,0,—,23%
3,Franklin ›,"4,262","13,590",82,261,25%,4,15,9,+5%,0,—,21%
828,Franklin ›,"1,200","11,917",21,209,36%,2,8,5,+22%,0,—,39%
2069,Franklin ›,"126,448","9,603","1,400",106,38%,13,10,9,–19%,0.1,0.11,43%
1927,Franklin ›,"6,880","9,873",51,73,26%,3,12,3,–40%,0,—,24%
2262,Franklin ›,"15,012","9,683",366,236,28%,12,19,31,–11%,0,—,35%
633,Franklin ›,"4,448","11,563",86,224,24%,28,14,15,+19%,0,—,40%
2883,Franklin ›,"2,001","4,050",39,79,—,7,13,8,+46%,0,—,—
429,Franklin ›,"2,690","11,521",52,223,—,54,7,13,–24%,2.4,0.32,—
2557,Franklin ›,"5,163","12,232",90,213,22%,<1,9,9,–20%,0,—,23%
1179,Franklin ›,"1,294","4,285",14,46,39%,15,25,18,+20%,0,—,39%
1093,Franklin ›,"4,061","7,964",47,92,49%,<1,6,—,–100%,0.1,1.34,29%
573,Franklin ›,"1,200","8,648",16,115,23%,<1,7,6,–37%,0,—,29%
1448,Franklin ›,838,"10,865",23,298,25%,3,5,6,+42%,0.1,0.26,22%
782,Franklin ›,"1,702","7,479",36,158,19%,2,5,13,+18%,0,—,27%
2978,Franklin ›,"4,039","7,207",77,137,—,2,7,4,–42%,0,—,—
2821,Franklin ›,731,"6,816",26,242,20%,0,—,—,—,0,—,30%
1721,Franklin ›,242,"8,124",4,134,27%,<1,3,7,–25%,0.1,0.69,36%
1227,Franklin ›,"2,537","3,615",113,161,40%,2,15,—,—,0,—,1%
2974,Fredericksburg ›,"2,124","7,315",23,79,—,<1,8,7,–18%,0,—,—
1197,Frederick ›,"19,623","7,560",322,124,41%,59,10,28,–25%,0.7,0.12,41%
2937,Frederick ›,"7,948","8,899",100,112,—,10,6,8,–10%,0.1,0.09,—
1350,Freeborn ›,"3,415","11,278",29,96,38%,7,14,9,–26%,0,—,41%
2739,Freestone ›,"1,923","9,753",50,254,17%,<1,7,—,–100%,0,—,22%
247,Fremont ›,"6,267","13,100",57,119,—,7,29,11,–38%,0,—,—
878,Fremont ›,622,"8,937",9,129,36%,<1,2,—,–100%,0.1,2.08,34%
575,Fremont ›,"1,132","8,642",14,107,25%,2,5,2,–90%,0,—,28%
3193,Fremont ›,"5,189","13,217",84,214,35%,9,21,—,–100%,0,—,24%
197,Fresno ›,"101,838","10,193","1,688",169,31%,17,8,5,–16%,0.1,0.07,32%
2617,Frio ›,"2,874","14,153",51,251,22%,52,14,12,–21%,0.9,0.24,31%
1729,Frontier ›,192,"7,309",1,38,16%,0,—,—,—,0,—,11%
494,Fulton ›,"97,780","9,190","1,388",130,—,<1,6,11,+8%,0,—,—
637,Fulton ›,"3,919","11,412",63,183,34%,87,12,11,+18%,1.3,0.18,35%
2052,Fulton ›,"4,251","10,091",69,164,34%,4,12,8,–29%,0,—,34%
1849,Fulton ›,"4,324","8,100",91,170,32%,13,14,22,+1%,0,—,38%
758,Fulton ›,"1,956","9,793",40,200,24%,2,10,10,+9%,0,—,30%
171,Fulton ›,"1,127","9,033",47,377,18%,<1,2,6,–3%,0,—,29%
2275,Fulton ›,"1,317","9,064",15,103,20%,49,16,18,–27%,0.4,0.14,37%
1077,Fulton ›,524,"8,779",14,235,28%,<1,8,8,–29%,0.1,1.81,20%
1685,Furnas ›,508,"10,864",5,107,28%,1,9,8,–16%,0,—,34%
323,Gadsden ›,"5,710","12,505",99,217,32%,249,18,21,–3%,2.0,0.14,32%
1696,Gage ›,"2,185","10,157",19,88,25%,<1,7,—,—,0,—,23%
2824,Gaines ›,"1,444","6,719",43,200,12%,0,—,<1,–87%,0.1,1.75,23%
2893,Galax ›,"1,165","18,355",52,819,—,5,28,27,–2%,0.1,0.85,—
1095,Gallatin ›,698,"7,870",30,338,24%,1,5,9,–8%,0.3,1.33,33%
1604,Gallatin ›,"14,820","12,951",64,56,35%,4,9,3,–39%,1.7,3.91,32%
683,Gallatin ›,458,"9,486",5,104,33%,<1,4,—,—,0,—,30%
2113,Gallia ›,"2,363","7,904",49,164,30%,2,5,4,–60%,0,—,25%
2672,Galveston ›,"39,683","11,599",417,122,35%,7,5,6,+115%,0.1,0.11,27%
1737,Garden ›,113,"6,151",1,54,33%,0,—,4,–25%,0,—,33%
259,Garfield ›,"5,833","9,712",38,63,—,116,16,7,–39%,1.1,0.16,—
1646,Garfield ›,80,"6,359",2,159,15%,0,—,—,—,0,—,25%
2144,Garfield ›,"7,802","12,778",130,213,26%,3,5,9,–6%,0.1,0.30,19%
1725,Garfield ›,151,"7,669",1,51,21%,<1,3,—,—,0,—,23%
2869,Garfield ›,469,"9,285",10,198,30%,<1,6,—,–100%,0,—,28%
3042,Garfield ›,122,"5,483",5,225,19%,42,14,9,–11%,0.7,0.25,35%
150,Garland ›,"10,157","10,220",259,261,26%,3,4,4,–52%,0,—,21%
1080,Garrard ›,"1,530","8,661",35,198,29%,2,8,—,—,0,—,48%
1200,Garrett ›,"2,010","6,928",63,217,31%,6,8,5,–42%,0.1,0.20,33%
2143,Garvin ›,"3,611","13,031",78,281,29%,<1,5,—,–100%,0,—,29%
2793,Garza ›,490,"7,866",22,353,23%,<1,3,—,—,0,—,29%
1514,Gasconade ›,"1,537","10,452",45,306,33%,1,11,2,–39%,0,—,21%
1895,Gaston ›,"26,553","11,826",427,190,25%,17,20,15,–6%,0,—,27%
1979,Gates ›,739,"6,392",13,112,26%,<1,3,—,–100%,0,—,63%
934,Geary ›,"3,412","10,774",40,126,27%,<1,3,5,–25%,0,—,22%
2120,Geauga ›,"6,721","7,177",148,158,40%,1,4,12,–5%,0,—,29%
566,Gem ›,"1,779","9,822",38,210,24%,2,10,—,—,0,—,51%
1840,Genesee ›,"5,333","9,310",123,215,36%,8,17,6,–2%,0.3,0.58,39%
1254,Genesee ›,"41,001","10,103",908,224,30%,22,26,43,–7%,0.5,0.60,38%
52,Geneva ›,"2,514","9,569",77,293,21%,2,5,—,—,0,—,23%
1484,Gentry ›,822,"12,510",20,304,28%,7,13,4,–24%,0,—,21%
2420,Georgetown ›,"6,707","10,700",139,222,35%,2,10,6,–51%,0,—,17%
1455,George ›,"2,480","10,122",48,196,20%,2,4,6,+32%,0,—,22%
2535,Gibson ›,"6,535","13,301",146,297,23%,5,6,11,–15%,0,—,33%
703,Gibson ›,"4,365","12,968",95,282,29%,8,22,10,–31%,0,—,32%
99,Gila ›,"6,929","12,827",228,422,39%,19,8,8,–7%,0.3,0.12,29%
362,Gilchrist ›,"1,616","8,697",44,237,18%,15,8,5,–35%,0.4,0.23,26%
2964,Giles ›,"1,280","7,656",22,132,—,1,9,11,–28%,0,—,—
2526,Giles ›,"4,009","13,606",100,339,21%,6,9,16,–8%,0.3,0.54,19%
2755,Gillespie ›,"2,558","9,478",50,185,34%,<1,6,—,–100%,0,—,26%
2229,Gilliam ›,63,"3,295",1,52,27%,2,14,6,–37%,0,—,52%
3070,Gilmer ›,857,"10,955",5,64,—,3,40,19,–14%,0,—,—
482,Gilmer ›,"2,993","9,541",84,268,—,<1,7,11,–6%,0.1,1.20,—
304,Gilpin ›,241,"3,860",3,48,—,0,—,10,–38%,0,—,—
1618,Glacier ›,"1,535","11,161",42,305,53%,<1,9,16,+54%,0,—,37%
381,Glades ›,963,"6,973",19,138,17%,<1,3,12,–11%,0.1,0.77,18%
1272,Gladwin ›,"2,255","8,861",56,220,33%,89,22,30,–30%,3.3,0.81,30%
503,Glascock ›,267,"8,987",19,640,—,<1,5,8,Flat,0,—,—
2806,Glasscock ›,104,"7,381",2,142,28%,<1,2,—,–100%,0,—,37%
196,Glenn ›,"2,918","10,277",25,88,28%,36,8,5,–32%,0.4,0.10,34%
1784,Gloucester ›,"30,216","10,361",628,215,39%,43,7,9,–48%,1.9,0.31,34%
3012,Gloucester ›,"2,197","5,883",48,129,—,<1,3,—,–100%,0,—,—
477,Glynn ›,"8,195","9,608",173,203,—,<1,8,12,–16%,0,—,—
1257,Gogebic ›,"1,386","9,918",50,358,44%,18,25,24,–17%,0.4,0.61,27%
1644,Golden Valley ›,56,"6,821",2,244,29%,0,—,—,—,0,—,15%
2001,Golden Valley ›,258,"14,651",3,170,20%,<1,23,—,–100%,0,—,30%
2838,Goliad ›,454,"5,928",13,170,27%,0,—,9,–15%,0,—,29%
2633,Gonzales ›,"2,737","13,135",57,274,28%,5,10,9,–15%,0,—,29%
3007,Goochland ›,"1,442","6,071",23,97,—,<1,4,16,–27%,0.1,0.61,—
1362,Goodhue ›,"4,772","10,298",72,155,43%,2,20,—,–100%,0,—,39%
572,Gooding ›,"1,315","8,663",23,152,23%,2,7,—,–100%,0,—,22%
389,Gordon ›,"8,222","14,185",116,200,—,5,15,24,+16%,0,—,—
3206,Goshen ›,"1,212","9,174",24,182,26%,1,8,5,+8%,0,—,26%
1709,Gosper ›,183,"9,196",5,251,27%,3,5,7,–25%,0,—,24%
895,Gove ›,386,"14,643",19,721,36%,5,4,8,+8%,0,—,39%
507,Grady ›,"2,183","8,862",60,244,—,<1,5,8,–1%,0,—,—
2180,Grady ›,"5,951","10,658",121,217,22%,<1,1,—,–100%,0.1,0.33,27%
1771,Grafton ›,"3,926","4,368",26,29,40%,10,11,5,–32%,0,—,40%
